day,week,weekly_theme,main_reading,companion,make_it_real_prompt
1,1,Meet Jesus — who He really is,John 1-2,Psalms 1,"Where in your real, everyday life does today's reading actually touch down?"
2,1,Meet Jesus — who He really is,John 3-4,Re-read your favorite verse from this week and sit with it,What's one thing God might be inviting you to do differently this week?
3,1,Meet Jesus — who He really is,John 5-6,Psalms 2,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
4,1,Meet Jesus — who He really is,John 7-8,Re-read your favorite verse from this week and sit with it,What does this show you about who God is — and who you are to Him?
5,1,Meet Jesus — who He really is,John 9-10,Psalms 3,Where do you need grace today instead of trying to earn it?
6,1,Meet Jesus — who He really is,John 11-12,Re-read your favorite verse from this week and sit with it,"What's one small, doable step you can take today because of what you read?"
7,1,Meet Jesus — who He really is,John 13-14,Psalms 4,What feeling or fear does this passage speak to right now?
8,2,Meet Jesus — who He really is,John 15-16,Re-read your favorite verse from this week and sit with it,Who in your life needs the encouragement this passage gave you?
9,2,Meet Jesus — who He really is,John 17-18,Psalms 5,What would change if you actually believed this today?
10,2,Meet Jesus — who He really is,John 19-20,Re-read your favorite verse from this week and sit with it,Where is God asking for your trust in something you can't control?
11,2,Meet Jesus — who He really is,"John 21, Romans 1",Proverbs 1,What habit or mindset is this passage gently challenging?
12,2,Meet Jesus — who He really is,Romans 2-3,Re-read your favorite verse from this week and sit with it,How can you carry one verse from today into a real moment this week?
13,2,Meet Jesus — who He really is,Romans 4-5,Psalms 6,What does honest prayer about this look like for you today?
14,2,Meet Jesus — who He really is,Romans 6-7,Re-read your favorite verse from this week and sit with it,Where have you seen this truth show up in your own story?
15,3,The gospel explained: grace over performance,Romans 8-9,Psalms 7,What's the invitation here — and what's holding you back from saying yes?
16,3,The gospel explained: grace over performance,Romans 10-12,Re-read your favorite verse from this week and sit with it,"Where in your real, everyday life does today's reading actually touch down?"
17,3,The gospel explained: grace over performance,Romans 13-15,Psalms 8,What's one thing God might be inviting you to do differently this week?
18,3,The gospel explained: grace over performance,"Romans 16, Mark 1-2",Re-read your favorite verse from this week and sit with it,"If a friend who's never read the Bible asked what this means, how would you say it simply?"
19,3,The gospel explained: grace over performance,Mark 3-4,Psalms 9,What does this show you about who God is — and who you are to Him?
20,3,The gospel explained: grace over performance,Mark 5-7,Re-read your favorite verse from this week and sit with it,Where do you need grace today instead of trying to earn it?
21,3,The gospel explained: grace over performance,Mark 8-10,Psalms 10,"What's one small, doable step you can take today because of what you read?"
22,4,"The church, the Spirit, faith lived out loud",Mark 11-13,Re-read your favorite verse from this week and sit with it,What feeling or fear does this passage speak to right now?
23,4,"The church, the Spirit, faith lived out loud",Mark 14-16,Proverbs 2,Who in your life needs the encouragement this passage gave you?
24,4,"The church, the Spirit, faith lived out loud",Acts 1-2,Re-read your favorite verse from this week and sit with it,What would change if you actually believed this today?
